vM,Fr_bulbo,Re_bulbo,CF0_bulbo,CT_bulbo,CV_bulbo,CW_bulbo,Fr_ctrlz,Re_ctrlz,CF0_ctrlz,CT_ctrlz,CV_ctrlz,CW_ctrlz
0.56,0.1395722992066345,843082.5688073396,0.0048661939024283105,0.0062484362867842955,0.005819967907304259,0.00042846837948003636,0.14246666048145132,809174.3119266055,0.004910693166581619,0.0062481932751640035,0.0059124745725642695,0.0003357187025997341
0.64,0.15951119909329656,963522.9357798166,0.004725553437593941,0.005723354623821003,0.005651761911362353,7.15927124586499e-05,0.16281904055023005,924770.6422018349,0.004768133318395655,0.0061866645048655414,0.0057408325153483685,0.0004458319895171729
0.75,0.1869271864374569,1129128.4403669725,0.00456628548802838,0.006659957543245694,0.0054612774436819415,0.0011986800995637528,0.19080356314480085,1083715.5963302753,0.004606726331803552,0.006357748724269952,0.005546498503491476,0.0008112502207784757
0.8,0.1993889988666207,1204403.6697247708,0.004503773976637649,0.013123704341065542,0.005386513676058628,0.007737190665006914,0.20352380068778758,1155963.3027522936,0.004543385424265225,0.013300457324263043,0.005470236050815331,0.007830221273447712
1.05,0.26169806101243964,1580779.8165137616,0.004253986623140223,0.012247440046241608,0.005087768001275706,0.007159672044965901,0.2671249884027212,1517201.8348623854,0.004290342076195789,0.01450299110184192,0.00516557185973973,0.00933741924210219
1.19,0.29659113581409824,1791550.4587155965,0.0041459467667833315,0.01579975786338059,0.004958552333072864,0.010841205530307726,0.302741653523084,1719495.4128440367,0.004180923193509952,0.01650842123110752,0.005033831524985982,0.01147458970612154
1.34,0.3339765731015897,2017376.1467889913,0.004047230621226188,0.016686725025105834,0.004840487822986521,0.011846237202119313,0.3409023661520442,1936238.532110092,0.004080962763323755,0.017034499970839025,0.0049134791670418015,0.012121020803797223
1.48,0.3688696479032483,2228146.788990826,0.003967285179258034,0.01838626132149372,0.0047448730743926085,0.013641388247101113,0.376519031272407,2138532.110091743,0.004000020772390245,0.019194642346148535,0.004816025009957855,0.01437861733619068
1.6,0.3987779977332414,2408807.3394495416,0.0039062114783315126,0.023387470991686792,0.004671828928084489,0.0187156420636023,0.40704760137557516,2311926.6055045873,0.0039381925471250806,0.024927901148618786,0.004741583826738597,0.02018631732188019
1.73,0.4311787100490672,2604522.9357798165,0.0038464190686300056,0.02448055265689325,0.0046003172060814865,0.019880235450811766,0.4401202189873406,2499770.642201835,0.003877667180723849,0.025949252347343205,0.004668711285591514,0.02128054106175169
