vM,Fr,ReM,RTM_bulbo,Rp_bulbo,Rv_bulbo,RTM_ctrlz,Rp_ctrlz,Rv_ctrlz,ReM_bulbo,ReM_ctrlz,Cw_bulbo,Cw_ctrlz,Cv_bulbo,Cv_ctrlz
0.56,0.14,992000.0,1.1,400.0,700.0,1.098,430.0,680.0,918960.0000000001,882000.0,2.2142352297224757,2.384545836072788,3.8749116520143327,3.7709096942546414
0.64,0.16,1130000.0,1.316,567.0,890.0,1.42,545.0,880.0,1050240.0,1008000.0,2.403050679194514,2.3139279270466497,3.7719843112577025,3.736250597800095
0.75,0.19,1320000.0,2.103,853.0,1250.0,2.004,786.0,1200.0,1230750.0,1181250.0,2.6324875348397607,2.4300392736547685,3.8576898224498253,3.70998362390041
0.8,0.26,1860000.0,4.715,2220.0,2495.0,4.77,2470.0,2296.0,1312800.0000000002,1260000.0,6.021612707230274,6.7116647102299885,6.767533200243033,6.238859180035649
1.05,0.3,2100000.0,7.58,4300.0,3280.0,8.96,5490.0,3090.0,1723050.0000000002,1653750.0000000002,6.770639280218061,8.65978320374713,5.164580660259358,4.874085628338548
1.19,0.334,2360000.0,12.56,8290.0,4270.0,13.1,9090.0,4020.0,1952790.0,1874250.0,10.162496915930426,11.163059351361595,5.234482729918325,4.936798525024599
1.34,0.369,2610000.0,16.82,11510.0,5310.0,17.14,12180.0,4980.0,2198940.0000000005,2110500.0,11.127703517141272,11.796440049402095,5.1336321178123505,4.823174995568344
1.48,0.399,2820000.0,22.608,16528.0,6080.0,23.56,17740.0,5810.0,2428680.0,2331000.0,13.098956274403227,14.084565637553345,4.818589917011836,4.612814337890921
1.6,0.432,3060000.0,33.61,26830.0,6780.0,35.76,29140.0,6690.0,2625600.0000000005,2520000.0,18.1936789341203,19.79533498543541,4.597582675115007,4.544639363505934
1.73,0.447,3160000.0,41.13,33890.0,7240.0,43.52,36460.0,7070.0,2838930.0,2724750.0,19.657087987327028,21.185451860143317,4.199389702810495,4.108095026089228
